,City,Cloudiness,Country,Humidity,Date,Lat,Lng,Max Temp,Wind Speed
313,vostok,100,RU,86,1558330579,46.45,135.83,57.7,7.18
314,trincomalee,7,LK,35,1558330284,8.58,81.23,99.82,3.89
315,hailin,3,CN,43,1558330580,44.57,129.38,59.68,19.82
316,bathsheba,40,BB,74,1558330580,13.22,-59.52,80.6,23.04
317,luzhou,94,CN,65,1558330580,28.89,105.45,69.94,2.68
318,tautira,40,PF,69,1558330580,-17.73,-149.15,82.0,4.7
319,matara,52,PE,80,1558330581,-13.74,-72.9,28.9,2.06
320,olinda,20,EC,78,1558330581,-2.03,-79.75,78.8,8.05
321,oga,99,NG,89,1558330581,8.18,5.65,75.16,7.16
322,malmesbury,90,GB,81,1558330581,51.58,-2.1,53.01,6.13
323,derzhavinsk,86,KZ,49,1558330582,51.1,66.31,58.24,19.06
324,dongsheng,27,CN,30,1558330582,29.72,112.52,76.6,14.85
325,lasa,0,CY,68,1558330582,34.92,32.53,75.0,4.7
326,guangyuan,100,CN,59,1558330582,32.43,105.86,73.99,3.38
327,airai,27,TL,52,1558330583,-8.93,125.41,89.2,2.51
328,eskisehir,74,TR,87,1558330404,39.78,30.52,68.0,5.82
329,tsiroanomandidy,25,MG,73,1558330583,-18.77,46.05,71.38,2.26
330,talcahuano,0,CL,87,1558330583,-36.72,-73.12,48.2,4.7
331,mogadishu,75,SO,74,1558330583,2.04,45.34,82.4,4.7
332,vila franca do campo,75,PT,88,1558330584,37.72,-25.43,62.6,12.75
333,kendari,100,ID,84,1558330361,-3.99,122.52,83.08,4.43
334,feijo,92,EC,84,1558330584,-3.63,-79.92,72.64,0.36
335,aripuana,50,BR,84,1558330584,-9.17,-60.63,73.9,1.88
336,samarai,83,PG,94,1558330584,-10.62,150.67,76.6,4.7
337,mossoro,96,BR,96,1558330585,-5.19,-37.34,73.9,5.99
338,puerto escondido,8,MX,76,1558330585,15.86,-97.07,79.84,2.82
339,tiassale,94,CI,92,1558330585,5.9,-4.83,74.98,2.28
340,taltal,21,CL,93,1558330586,-25.41,-70.49,56.8,1.54
341,pacific grove,90,US,87,1558330586,36.62,-121.92,54.0,3.36
342,kyshtovka,73,RU,68,1558330586,56.56,76.62,47.8,21.59
343,kalmunai,15,LK,55,1558330372,7.42,81.82,91.9,5.32
344,santa cruz,40,US,87,1558330286,36.97,-122.03,54.0,13.96
345,carupano,44,VE,82,1558330586,10.67,-63.26,74.62,3.83
346,san cristobal,75,EC,93,1558330587,-0.39,-78.55,53.6,3.36
347,meulaboh,53,ID,75,1558330587,4.14,96.13,84.34,8.7
348,ariquemes,42,BR,89,1558330588,-9.91,-63.03,71.92,2.04
349,kuala terengganu,75,MY,79,1558330532,5.33,103.14,86.0,2.24
350,tessalit,9,ML,17,1558330588,20.2,1.01,87.4,11.41
351,aniva,20,RU,52,1558330588,46.71,142.53,66.2,11.18
352,pontianak,75,ID,66,1558330589,-0.02,109.34,89.6,5.82
353,kruisfontein,87,ZA,57,1558330589,-34.0,24.73,59.68,3.11
354,corinto,0,BR,85,1558330589,-18.36,-44.46,64.18,1.83
355,sibul,75,PH,62,1558330589,15.17,121.06,91.99,11.41
356,ugoofaaru,78,MV,68,1558330356,5.67,73.0,86.68,7.31
357,samana,84,EC,99,1558330590,0.12,-76.97,68.68,2.21
358,kerouane,49,GN,51,1558330590,12.23,-12.34,81.1,6.85
359,rognan,75,NO,71,1558330590,67.1,15.4,54.0,10.29
360,grindavik,90,IS,100,1558330591,63.84,-22.43,44.6,4.7
